合同号,客户名,合同标题,合同总额,已回款,应收未结,合同到期日,原关闭原因,关闭时间,负责人,签订人
HZQT20240152,杭州富斯立精密机械有限公司,杭州富斯立精密机械有限公司-安全生产台账-2024年,5000.00,0,5000.00,2025-04-23 16:00:00,overdue_terminated,2026-06-26 10:00:06,孙国茗,孙国茗
HZJT20250046,杭州梁筑机械有限公司,杭州梁筑机械有限公司-危化品专家意见书（锦泰）-2025年,5000.00,0,5000.00,2025-05-30 16:00:00,overdue_terminated,2026-06-26 10:00:07,段绘新,杜成祥
HZQT20250271,杭州恒雄展示器材有限公司,杭州恒雄展示器材有限公司-风险管控-2025年,5000.00,0,5000.00,2025-12-30 16:00:00,overdue_terminated,2026-06-26 10:00:06,刘丽华,朱越华
HZJT20240118,杭州余杭区瓶窑镇鼎越金属加工厂,杭州余杭区瓶窑镇鼎越金属加工厂-风险管控（锦泰）-2024年,5000.00,0,5000.00,2024-07-30 16:00:00,overdue_terminated,2026-06-26 10:00:06,方晔华,沈陈强
QT-HT-2026-1343,杭州汇浩网络科技有限公司,杭州汇浩网络科技有限公司-标准化咨询-2020年,5000.00,0,5000.00,2022-11-29 16:00:00,overdue_terminated,2026-06-26 10:00:03,周晓晴,朱越华
HZQT20240148,杭州倍沃医学科技有限公司,杭州倍沃医学科技有限公司-标准化咨询-2024年,10000.00,5000.00,5000.00,2027-04-29 16:00:00,completed,2026-06-25 08:00:32,施佳鑫,褚豪亮
HZJT20240105,杭州纸做包装有限公司,杭州纸做包装有限公司-安全生产台账（锦泰）-2024年,5000.00,0,5000.00,2025-06-06 16:00:00,overdue_terminated,2026-06-26 10:00:07,孙国茗,孙国茗
HZQT20240381,杭州塘梅食品有限公司,杭州塘梅食品有限公司-安全生产台账-2024年,15000.00,10000.00,5000.00,2027-11-29 16:00:00,,2026-06-25 08:00:32,赵丽琴,沈琳莉
HZCY2026001,浙江海创医疗器械有限公司,浙江海创医疗器械有限公司-风险管控（锦泰）-2026年,4500.00,0,4500.00,2026-04-29 16:00:00,overdue_terminated,2026-06-28 16:00:06,李文俊,陈尔平
HZJT20250088,杭州竟高科技有限公司,杭州竟高科技有限公司-风险管控（锦泰）-2025年,4500.00,0,4500.00,2025-08-30 16:00:00,overdue_terminated,2026-06-26 10:00:06,黄杰,吴增苗
